font,MJ文字図形名,対応するUCS,総画数(参考),読み(参考),バージョン
㔍,MJ000229,U+350D,16,サツ・サチ・セイ・セ・サン,Ver.006.01
㔎,MJ000230,U+350E,18,セツ・セチ・ギツ・ゴチ,Ver.006.01
㔏,MJ000231,U+350F,17,レキ・ラ・リャク,Ver.006.01
㔑,MJ000232,U+3511,19,シツ・シチ,Ver.006.01
㔒,MJ000233,U+3512,20,ケイ・ゲ,Ver.006.01
㔓,MJ000234,U+3513,5,ケン・コン,Ver.006.01
㔕,MJ000235,U+3515,6,キツ・ゴチ,Ver.006.01
㔗,MJ000237,U+3517,7,ヒ・ビ,Ver.006.01
㔘,MJ000238,U+3518,7,チュツ,Ver.006.01
㔙,MJ000239,U+3519,8,ホウ・ヒョウ,Ver.006.01
㔚,MJ000240,U+351A,8,コウ,Ver.006.01
㔜󠄁,MJ000241,U+351C,9,ホツ,Ver.006.01
㔜,MJ000242,U+351C,9,ホツ,Ver.006.01
㔝,MJ000243,U+351D,10,リョウ,Ver.006.01
㔞,MJ000244,U+351E,10,カイ・ケ,Ver.006.01
㔟,MJ000245,U+351F,10,セイ・いきおい,Ver.006.01
㔠,MJ000246,U+3520,11,カツ・ケチ,Ver.006.01
㔡,MJ000249,U+3521,12,ヘツ・ヘチ,Ver.006.01
㔣,MJ000250,U+3523,17,ライ・レ・ルイ,Ver.006.01
㔤,MJ000251,U+3524,17,シン,Ver.006.01
㔥,MJ000252,U+3525,17,ハイ・バ,Ver.006.01
㔦,MJ000253,U+3526,17,ヨウ,Ver.006.01
㔧,MJ000255,U+3527,18,ロ・リョ,Ver.006.01
㔨,MJ000256,U+3528,11,ハイ・ヘ,Ver.006.01
㔩,MJ000257,U+3529,12,オウ,Ver.006.01
㔪,MJ000258,U+352A,13,ロ,Ver.006.01
㔫,MJ000259,U+352B,4,サ・ひだり,Ver.006.01
㔬,MJ000260,U+352C,8,タク,Ver.006.01
㔭,MJ000261,U+352D,11,シ,Ver.006.01
㔮,MJ000262,U+352E,21,ダ・ナ,Ver.006.01
㔯,MJ000263,U+352F,7,セン・ゼン,Ver.006.01
㔰󠄁,MJ000264,U+3530,7,コウ,Ver.006.01
㔰,MJ000265,U+3530,7,コウ・つね,Ver.006.01
㔱,MJ000266,U+3531,11,ユ,Ver.006.01
㔱󠄁,MJ000267,U+3531,10,ユ・くら,Ver.006.01
㔳,MJ000268,U+3533,13,キ,Ver.006.01
㔴,MJ000269,U+3534,13,ヨク・ヨキ,Ver.006.01
㔴󠄁,MJ000270,U+3534,14,ヨク・ヨキ,Ver.006.01
㔵,MJ000271,U+3535,14,セン,Ver.006.01
㔶,MJ000272,U+3536,26,カン・コン・コウ・ク,Ver.006.01
㔷,MJ000273,U+3537,7,ロウ・ル,Ver.006.01
㔸,MJ000274,U+3538,12,テイ・タイ,Ver.006.01
㔹,MJ000275,U+3539,4,ロク,Ver.006.01
㔺,MJ000276,U+353A,5,セイ・セ・よ,Ver.006.01
㔺󠄁,MJ000277,U+353A,5,セイ・セ・よ,Ver.006.01
㔺󠄂,MJ000278,U+353A,6,セイ・セ・よ,Ver.006.01
㔻,MJ000279,U+353B,6,ヒ,Ver.006.01
㔼,MJ000280,U+353C,13,ジュン,Ver.006.01
㔽,MJ000281,U+353D,8,ユウ,Ver.006.01
㔾,MJ000282,U+353E,2,セツ,Ver.006.01
㔿,MJ000284,U+353F,3,ソウ,Ver.006.01
㕁,MJ000285,U+3541,8,キャク・しりぞく,Ver.006.01
㕂,MJ000286,U+3542,6,ギン,Ver.006.01
㕃,MJ000287,U+3543,6,ケイ,Ver.006.01
㕄,MJ000288,U+3544,6,シ,Ver.006.01
㕅,MJ000289,U+3545,7,コウ,Ver.006.01
㕆,MJ000290,U+3546,7,ト・ツ・ゴ・コ,Ver.006.01
㕇,MJ000291,U+3547,7,ロウ・リュウ,Ver.006.01
㕈,MJ000292,U+3548,8,イ・アイ,Ver.006.01
㕉,MJ000293,U+3549,8,コウ,Ver.006.01
㕊,MJ000294,U+354A,9,フ,Ver.006.01
㕋,MJ000295,U+354B,10,キン・ゴン・ケン・ゲン,Ver.006.01
㕌,MJ000296,U+354C,10,ガイ・タク・チャク,Ver.006.01
㕍,MJ000297,U+354D,10,タイ・テ・ガン・かり,Ver.006.01
㕎,MJ000298,U+354E,12,コウ・オウ,Ver.006.01
㕐,MJ000299,U+3550,14,シャ,Ver.006.01
㕑,MJ000300,U+3551,14,チュウ・チュ・ズ・ジュ・くりや,Ver.006.01
㕒,MJ000301,U+3552,15,ギ,Ver.006.01
㕓󠄁,MJ000302,U+3553,16,テン・デン,Ver.006.01
㕓,MJ000303,U+3553,17,,Ver.006.01
㕕,MJ000304,U+3555,4,ゲン,Ver.006.01
㕖,MJ000305,U+3556,10,ソ,Ver.006.01
㕗,MJ000306,U+3557,11,ユウ・ユ,Ver.006.01
㕙,MJ000307,U+3559,15,シュン・セン,Ver.006.01
㕚,MJ000308,U+355A,4,ソウ・ショウ,Ver.006.01
㕛󠄀,MJ000309,U+355B,4,ユウ,Ver.006.01
㕛,MJ000310,U+355B,4,ユウ・とも,Ver.006.01
㕜󠄀,MJ000311,U+355C,6,シ・ふみ,Ver.006.01
㕜,MJ000312,U+355C,6,シ・ふびと・ふみ・さかん,Ver.006.01
㕝,MJ000313,U+355D,7,シ,Ver.006.01
㕞,MJ000314,U+355E,8,セツ・セチ,Ver.006.01
㕟,MJ000315,U+355F,9,カイ・ケ・キ,Ver.006.01
㕠,MJ000316,U+3560,12,ソウ,Ver.006.01
㕡,MJ000317,U+3561,14,カク・ガク,Ver.006.01
㕡󠄁,MJ000318,U+3561,14,カク・ガク,Ver.006.01
㕢,MJ000319,U+3562,14,カイ・ガイ,Ver.006.01
㕣,MJ000320,U+3563,5,エン,Ver.006.01
㕤,MJ000321,U+3564,5,キュウ,Ver.006.01
㕥,MJ000322,U+3565,5,シン,Ver.006.01
㕦,MJ000323,U+3566,6,カ・ゲ・ゴ,Ver.006.01
㕧,MJ000324,U+3567,6,キ・シ,Ver.006.01
㕨,MJ000325,U+3568,6,ハン,Ver.006.01
㕩,MJ000326,U+3569,7,ホウ,Ver.006.01
㕪,MJ000327,U+356A,7,タン・トン,Ver.006.01
㕫,MJ000328,U+356B,7,ホウ,Ver.006.01
㕬,MJ000329,U+356C,7,コウ・ク・ショウ・シュ・ジュ,Ver.006.01
㕭,MJ000330,U+356D,7,オウ・ヨウ,Ver.006.01
㕮,MJ000331,U+356E,7,フ・かむ,Ver.006.01
㕯,MJ000332,U+356F,7,トツ・どもる,Ver.006.01
㕯󠄁,MJ000333,U+356F,7,セツ・トツ・ドツ・ナチ・どもる,Ver.006.01
㕰,MJ000334,U+3570,7,カク,Ver.006.01
㕱,MJ000335,U+3571,7,ユウ・ウ,Ver.006.01
㕲,MJ000336,U+3572,7,コウ・ゲチ・ヨウ,Ver.006.01
㕳,MJ000337,U+3573,7,キョウ・ク,Ver.006.01
㕴,MJ000338,U+3574,7,チン,Ver.006.01
㕵,MJ000339,U+3575,7,ボウ・コク,Ver.006.01
㕶,MJ000340,U+3576,7,ボク,Ver.006.01
㕸,MJ000341,U+3578,8,リュウ,Ver.006.01
㕹,MJ000342,U+3579,8,ハツ・ボチ・バチ,Ver.006.01
㕺,MJ000343,U+357A,8,キョウ,Ver.006.01
㕻,MJ000344,U+357B,8,トウ・ツ・ホウ・フ,Ver.006.01
㕼,MJ000345,U+357C,8,コウ,Ver.006.01
㕽,MJ000346,U+357D,8,シ,Ver.006.01
㖀,MJ000348,U+3580,9,ロツ・ロチ,Ver.006.01
㖁,MJ000349,U+3581,9,リン・おしむ,Ver.006.01
㖂,MJ000350,U+3582,9,エイ・セツ・セチ・セイ・ゼイ,Ver.006.01
㖃,MJ000351,U+3583,9,コウ・ク,Ver.006.01
㖄,MJ000352,U+3584,9,シュウ,Ver.006.01
㖅,MJ000353,U+3585,9,シュツ・シュチ,Ver.006.01
㖆,MJ000354,U+3586,9,キュウ・ク・キョク・コク・キク,Ver.006.01
㖇,MJ000355,U+3587,9,ニ・ジ,Ver.006.01
㖏,MJ000356,U+358F,10,デツ・ネチ,Ver.006.01
㖐,MJ000357,U+3590,10,イ,Ver.006.01
㖑,MJ000358,U+3591,10,カイ・ケ,Ver.006.01
㖒,MJ000359,U+3592,10,テイ,Ver.006.01
㖓,MJ000360,U+3593,10,コウ,Ver.006.01
㖔,MJ000361,U+3594,10,トン・チン,Ver.006.01
㖕,MJ000362,U+3595,10,ガツ・ガチ,Ver.006.01
㖖,MJ000363,U+3596,10,ガツ,Ver.006.01
㖗,MJ000364,U+3597,10,ギン,Ver.006.01
㖘,MJ000365,U+3598,10,シン,Ver.006.01
㖟,MJ000366,U+359F,11,シュウ・ジュ,Ver.006.01
㖠,MJ000367,U+35A0,11,ダ・ナ,Ver.006.01
㖡,MJ000368,U+35A1,11,ヤ・エ,Ver.006.01
㖢,MJ000369,U+35A2,12,シ・ジ・イ,Ver.006.01
㖣,MJ000370,U+35A3,11,トウ,Ver.006.01
㖤,MJ000371,U+35A4,11,カン・ゴン,Ver.006.01
㖥,MJ000372,U+35A5,11,キン・ゴン,Ver.006.01
㖦,MJ000373,U+35A6,11,トウ・ツ,Ver.006.01
㖧,MJ000374,U+35A7,11,コン・ブン,Ver.006.01
㖨,MJ000375,U+35A8,11,ロク,Ver.006.01
㖩,MJ000376,U+35A9,11,シュ・ユ・ソウ,Ver.006.01
㖪,MJ000377,U+35AA,11,イク・ケキ・キョク・カク・キャク,Ver.006.01
㖫,MJ000378,U+35AB,11,リョウ,Ver.006.01
��,MJ000379,U+26BB6,11,ブン・モン,Ver.006.01
㖶󠄁,MJ000380,U+35B6,12,エツ,Ver.006.01
㖶,MJ000381,U+35B6,12,エツ,Ver.006.01
㖷,MJ000382,U+35B7,12,シ・テイ・ダイ,Ver.006.01
㖸,MJ000383,U+35B8,12,キャク,Ver.006.01
㖹,MJ000384,U+35B9,12,ホン・ボン・フン,Ver.006.01
㖺,MJ000385,U+35BA,12,シュン,Ver.006.01
㖻,MJ000386,U+35BB,12,ジュウ・ニュ,Ver.006.01
㖼,MJ000387,U+35BC,12,ボウ,Ver.006.01
㖾,MJ000388,U+35BE,12,ガク・おどろく,Ver.006.01
㖿,MJ000389,U+35BF,12,シャ・ジャ・ヤ,Ver.006.01
㗀,MJ000390,U+35C0,12,ユウ,Ver.006.01
㗁,MJ000391,U+35C1,12,ガク,Ver.006.01
㗂,MJ000392,U+35C2,12,セイ・ショウ,Ver.006.01
㗃,MJ000393,U+35C3,12,ブン,Ver.006.01
㗄,MJ000394,U+35C4,12,マン,Ver.006.01
㗅,MJ000395,U+35C5,12,コ・ゴ,Ver.006.01
㗆,MJ000396,U+35C6,12,カク・キャク,Ver.006.01
㗇,MJ000397,U+35C7,12,カ・ゲ,Ver.006.01
㗉,MJ000398,U+35C9,12,リャク・ガク,Ver.006.01
㗊,MJ000399,U+35CA,12,シュウ・キュウ・コウ・ホウ・ライ,Ver.006.01
㗋,MJ000400,U+35CB,12,コウ・のど,Ver.006.01
㗌,MJ000401,U+35CC,12,チツ・チチ,Ver.006.01
㗍,MJ000402,U+35CD,12,タイ,Ver.006.01
㗐,MJ000403,U+35D0,12,コウ・あう,Ver.006.01
㗓,MJ000404,U+35D3,13,ツイ・タイ・テ,Ver.006.01
㗔,MJ000405,U+35D4,13,ケン,Ver.006.01
㗔󠄁,MJ000406,U+35D4,13,ケン,Ver.006.01
㗕,MJ000407,U+35D5,13,コウ・ク,Ver.006.01
㗖,MJ000408,U+35D6,13,タン・くう,Ver.006.01
㗖󠄁,MJ000409,U+35D6,13,タン・ダン・くう・くらわす,Ver.006.01
㗗,MJ000410,U+35D7,13,ハイ・ヘ,Ver.006.01
㗘,MJ000411,U+35D8,13,ハク,Ver.006.01
㗙,MJ000412,U+35D9,13,シュ・ドウ・ノウ,Ver.006.01
㗚,MJ000413,U+35DA,13,リツ・リチ,Ver.006.01
㗛,MJ000414,U+35DB,13,ショウ,Ver.006.01
㗜,MJ000415,U+35DC,13,キュウ,Ver.006.01
㗞,MJ000416,U+35DE,13,,Ver.006.01
㗢,MJ000417,U+35E2,14,コウ・グ・トウ・ズ・ク,Ver.006.01
㗣,MJ000418,U+35E3,14,テイ,Ver.006.01
㗤,MJ000419,U+35E4,14,シュク,Ver.006.01
㗥,MJ000420,U+35E5,14,カク,Ver.006.01
㗦,MJ000421,U+35E6,14,ロウ,Ver.006.01
㗧,MJ000422,U+35E7,14,チツ・テツ・テチ,Ver.006.01
㗨,MJ000423,U+35E8,14,カイ・ケ・アイ・ア・キツ・コチ,Ver.006.01
㗩,MJ000424,U+35E9,14,シュウ,Ver.006.01
㗪,MJ000425,U+35EA,14,ヒ,Ver.006.01
㗫,MJ000426,U+35EB,14,セツ・セチ・セイ・サイ・サツ,Ver.006.01
㗬,MJ000427,U+35EC,14,タ,Ver.006.01
㗭,MJ000428,U+35ED,14,シツ,Ver.006.01
